id_vụ,year,yield_class,stage_1_avg_temp,stage_1_total_precip,stage_1_count_heat_days,stage_1_avg_et0,stage_2_avg_temp,stage_2_total_precip,stage_2_count_heat_days,stage_2_avg_et0,stage_3_avg_temp,stage_3_total_precip,stage_3_count_heat_days,stage_3_avg_et0,stage_4_avg_temp,stage_4_total_precip,stage_4_count_heat_days,stage_4_avg_et0,stage_5_avg_temp,stage_5_total_precip,stage_5_count_heat_days,stage_5_avg_et0
Long An_2007_main_season,2007,Low,27.237991242181685,145.00000125169754,0,3.909356162661598,27.084416427612304,222.3999975696206,0,3.686698055267334,26.147415161132812,168.09999990463257,0,2.669934805234273,26.57345790863037,132.8000042438507,0,3.5182777523994444,26.462416458129884,234.19999952614307,0,3.4191237783432005
Long An_2008_winter_spring,2008,Medium,24.816860108148482,42.29999954998493,0,3.7207883426121304,26.889666595458984,16.100000262260437,0,3.7876842403411866,26.222276306152345,3.4999999552965164,0,3.7514209429423016,27.402103614807128,7.499999895691872,0,4.566569578647614,26.917249450683595,15.900000214576721,0,4.692883453369141
Long An_2008_summer_autumn,2008,High,28.094836825416202,147.99999843537807,4,4.45382004692441,26.503749771118166,202.3999993801117,0,3.545848250389099,26.6813045501709,97.39999792724848,0,3.665592972437541,26.770436382293703,125.80000245571136,0,3.6773028492927553,26.69141616821289,158.1000034585595,0,3.9098997688293458
Long An_2008_main_season,2008,High,26.781245821998233,144.49999845027924,0,3.932103645233881,26.65216567993164,169.79999945312738,0,3.575403594970703,26.543943150838217,104.20000332593918,0,3.6720738410949707,26.621375179290773,147.80000237375498,0,3.8101911306381226,26.39266616821289,213.000005915761,0,3.6111038589477538
Long An_2009_winter_spring,2009,Low,25.307138806297665,103.799997985363,0,3.2247070244380405,25.32308303833008,81.90000382065773,0,3.43907443523407,23.91824951171875,37.60000169277191,0,3.5484111388524373,24.85991554260254,1.9000000357627869,0,4.068163418769837,26.59683280944824,44.000001057982445,0,4.28880621433258
Long An_2009_summer_autumn,2009,High,27.894341332571848,144.59999538213015,4,4.0714786279769175,26.88366554260254,210.90000557899475,0,3.673346700668335,27.443387730916342,60.29999892413616,0,3.976946234703064,26.928562450408936,137.7000009417534,0,3.7503714084625246,26.644999160766602,224.29999873787165,0,3.4333687591552735
Long An_2009_main_season,2009,Low,26.93025271097819,183.60000252723694,0,3.4837042888005576,27.26591651916504,108.60000245273113,0,3.991661376953125,26.86908238728841,137.69999865442514,0,3.8589770952860514,26.481269931793214,170.3999983072281,0,3.0410993337631225,27.267165908813478,166.20000119507313,0,4.026394834518433
Long An_2010_winter_spring,2010,High,26.744340260823567,6.2000002935528755,0,3.872085991359892,26.793415603637694,14.40000023692846,0,3.946522388458252,27.12366600036621,0.40000001341104513,0,4.444257640838623,25.84887456893921,85.49999555200338,0,3.793299821019173,27.470582809448242,1.0999999940395355,1,5.256712818145752
Long An_2010_summer_autumn,2010,Medium,29.86924107869466,65.19999945163727,12,5.232921191624233,30.296915893554687,86.00000067800283,18,5.170594177246094,28.24977684020996,110.49999886751175,0,4.161689329147339,26.9773118019104,216.50000321865082,0,3.5137439370155334,26.848166198730468,189.199999704957,0,3.558332266807556
Long An_2010_main_season,2010,High,29.582733790079754,115.10000045597553,10,4.802263941083636,27.405665969848634,234.10000294446945,0,3.7120312881469726,27.136721928914387,101.59999948740005,0,3.934923537572225,26.5371036529541,192.19999964535236,0,3.199416333436966,26.759915771484376,252.09999771416187,0,3.572514419555664
Long An_2011_winter_spring,2011,High,25.700888406662713,180.39999843388796,0,3.1304003567922685,25.305582580566405,63.900000751018524,0,3.277060389518738,24.943944676717123,20.500000461936,0,3.2266000548998517,25.800957775115968,2.6000000089406967,0,4.129373598098755,26.88199951171875,0.700000025331974,0,4.827879314422607
Long An_2011_summer_autumn,2011,High,28.07737704685756,111.30000258237123,1,4.4916612307230634,27.39474998474121,218.20000290870667,0,3.8715386629104613,26.91172243754069,86.29999804496765,0,3.628740127881368,26.760436534881592,148.40000176429749,0,3.6222815036773683,26.78633285522461,216.9000000357628,0,3.785356388092041
Long An_2011_main_season,2011,High,27.016663142613,201.60000205039978,0,3.6650140455790927,26.895832748413085,154.099999666214,0,3.588727469444275,26.75491625467936,125.80000215768814,0,3.780768330891927,26.633249378204347,182.89999735355377,0,3.68840012550354,26.63491622924805,262.9999976158142,0,3.683193006515503
Long An_2012_winter_spring,2012,High,26.435510907854354,43.29999968409538,0,3.647144147327968,25.3963330078125,41.50000025331974,0,3.418682475090027,26.389221572875975,4.80000014603138,0,3.7397531032562257,26.488770294189454,52.500000543892384,0,3.800169587135315,27.12716636657715,51.90000052005052,0,4.465231556892395
Long An_2012_summer_autumn,2012,High,28.662694295247395,91.19999840855598,2,4.678925162269955,27.088165435791016,234.29999440908432,0,3.7361974620819094,26.997970962524413,123.70000004768372,0,3.632839806874593,26.97502040863037,133.39999866485596,0,3.797248935699463,26.667499313354494,202.20000076293945,0,3.710917520523071
Long An_2012_main_season,2012,High,27.022117342267716,224.0999967455864,0,3.615116845993769,27.140582656860353,134.09999775886536,0,3.8621675682067873,26.014915974934897,162.50000190734863,0,3.108097505569458,26.94731149673462,114.39999878406525,0,3.8998486042022704,27.027582778930665,174.70000664889812,0,4.017945556640625
Long An_2013_winter_spring,2013,High,26.42559006100609,93.00000187754631,0,3.396497885386149,27.916332931518554,10.100000284612179,0,4.154721755981445,26.427000045776367,47.20000101625919,0,3.3602270762125652,26.817728805541993,0.6000000238418579,1,4.585340011119842,28.146415481567384,21.199999004602436,10,5.1049191284179685
Long An_2013_summer_autumn,2013,High,28.495927356538317,94.09999892860651,0,4.538519825254168,28.076666412353514,195.20000031590462,0,4.180700063705444,26.974916712443033,143.80000138282776,0,3.3862956682840983,26.75762481689453,164.69999742507935,0,3.3470215797424316,26.258333206176758,231.2999951839447,0,3.323106384277344
Long An_2013_main_season,2013,High,27.551285153343564,183.10000026226044,0,3.9103599275861467,26.893666610717773,214.49999809265137,0,3.279652166366577,26.740055338541666,111.49999690055847,0,3.824182160695394,26.016999626159667,202.99999690055847,0,3.016020119190216,26.515083770751954,216.29999575018883,0,3.6709547996520997
Long An_2014_winter_spring,2014,High,25.78084900265648,78.4999992325902,0,3.1855358680089316,25.627832260131836,8.400000251829624,0,3.6539164352416993,26.24700050354004,5.0000001192092896,0,3.8579662958780925,24.484915256500244,0.1000000014901161,0,4.5092718482017515,26.317832641601562,1.500000037252903,0,4.904039430618286
Long An_2014_summer_autumn,2014,Medium,29.21586917695545,86.99999989569187,8,4.901142097654796,28.80158233642578,114.29999923706055,0,4.664702520370484,27.846861139933267,121.40000048279762,0,3.895076036453247,27.133458137512207,170.79999673366547,0,3.414993929862976,26.496582946777345,262.0999998450279,0,3.0853238344192504
Long An_2014_main_season,2014,High,28.384916214715865,141.79999953508377,0,4.403503701800392,27.35316665649414,217.4999968111515,0,3.4627312660217284,26.98783327738444,122.70000261068344,0,3.2655072450637816,26.426687240600586,219.49999797344208,0,3.242449736595154,26.828500061035157,192.00000271946192,0,3.9129958009719847
Long An_2015_winter_spring,2015,High,26.59374491373698,120.19999831914902,0,3.3475444203331355,25.967166061401368,24.500000692903996,0,3.6655713081359864,26.029220962524413,6.900000095367432,0,3.75866117477417,25.445229148864748,0.0,0,4.658684623241425,26.183248825073242,1.3000000268220901,0,4.818145484924316
Long An_2015_summer_autumn,2015,High,29.351187024797714,28.09999940544367,4,5.189338388897124,29.703249893188477,90.60000029206276,14,4.976571464538575,29.054221852620444,77.70000079274178,2,4.806448888778687,27.033874893188475,186.29999995231628,0,3.4296370089054107,27.299999771118163,152.1000021994114,0,3.729172611236572
