province,year,season,rice_yield,yield_class,expected_yield,residual
Ben Tre,2000,winter_spring,48.5,Medium,47.52281907622398,0.9771809237760181
Ben Tre,2000,summer_autumn,39.0,High,37.24097144975906,1.7590285502409415
Ben Tre,2000,main_season,26.5,Low,33.14172784575453,-6.641727845754531
Ben Tre,2001,winter_spring,46.3,Medium,47.37872311750317,-1.0787231175031735
Ben Tre,2001,summer_autumn,37.9,Medium,37.61841305153882,0.28158694846117527
Ben Tre,2001,main_season,33.1,Medium,33.44435298479789,-0.34435298479788656
Ben Tre,2002,winter_spring,46.7,Medium,47.234627158782416,-0.5346271587824134
Ben Tre,2002,summer_autumn,38.2,Medium,37.99585465331859,0.2041453466814147
Ben Tre,2002,main_season,36.1,High,33.746978123841245,2.3530218761587562
Ben Tre,2003,winter_spring,48.5,Medium,47.090531200061605,1.409468799938395
Ben Tre,2003,summer_autumn,37.1,Low,38.37329625509835,-1.2732962550983515
Ben Tre,2003,main_season,37.0,High,34.0496032628846,2.9503967371153976
Ben Tre,2004,winter_spring,50.8,High,46.946435241340794,3.8535647586592034
Ben Tre,2004,summer_autumn,39.0,Medium,38.75073785687812,0.24926214312188222
Ben Tre,2004,main_season,36.3,High,34.35222840192807,1.947771598071924
Ben Tre,2005,winter_spring,44.2,Low,46.80233928261998,-2.6023392826199796
Ben Tre,2005,summer_autumn,37.6,Low,39.12817945865788,-1.5281794586578812
Ben Tre,2005,main_season,41.0,High,34.65485354097143,6.3451464590285696
Ben Tre,2006,winter_spring,50.3,High,46.65824332389917,3.641756676100826
Ben Tre,2006,summer_autumn,34.0,Low,39.50562106043765,-5.505621060437647
Ben Tre,2006,main_season,39.7,High,34.95747868001479,4.742521319985215
Ben Tre,2007,winter_spring,54.4,High,46.51414736517836,7.885852634821639
Ben Tre,2007,summer_autumn,40.1,Medium,39.8830626622173,0.21693733778270285
Ben Tre,2007,main_season,27.3,Low,35.260103819058145,-7.960103819058144
Ben Tre,2008,winter_spring,57.4,High,46.37005140645755,11.02994859354245
Ben Tre,2008,summer_autumn,42.2,High,40.26050426399706,1.9394957360029395
Ben Tre,2008,main_season,40.9,High,35.5627289581015,5.3372710418984965
Ben Tre,2009,winter_spring,58.9,High,46.22595544773674,12.674044552263261
Ben Tre,2009,summer_autumn,39.8,Medium,40.63794586577683,-0.8379458657768311
Ben Tre,2009,main_season,39.7,High,35.86535409714497,3.83464590285503
Ben Tre,2010,winter_spring,57.4,High,46.081859489015926,11.318140510984072
Ben Tre,2010,summer_autumn,39.2,Low,41.01538746755659,-1.8153874675565902
Ben Tre,2010,main_season,43.1,High,36.16797923618833,6.932020763811671
Ben Tre,2011,winter_spring,52.3,High,45.937763530295115,6.362236469704882
Ben Tre,2011,summer_autumn,46.6,High,41.39282906933636,5.207170930663644
Ben Tre,2011,main_season,44.3,High,36.47060437523169,7.82939562476831
Ben Tre,2012,winter_spring,57.8,High,45.793667571574304,12.006332428425694
Ben Tre,2012,summer_autumn,47.4,High,41.77027067111612,5.629729328883876
Ben Tre,2012,main_season,45.9,High,36.773229514275044,9.126770485724954
Ben Tre,2013,winter_spring,50.7,High,45.64957161285349,5.0504283871465105
Ben Tre,2013,summer_autumn,43.7,High,42.14771227289589,1.5522877271041153
Ben Tre,2013,main_season,44.5,High,37.075854653318515,7.424145346681485
Ben Tre,2014,winter_spring,58.0,High,45.50547565413268,12.494524345867319
Ben Tre,2014,summer_autumn,42.7,Medium,42.52515387467565,0.1748461253243505
Ben Tre,2014,main_season,45.0,High,37.37847979236187,7.621520207638127
Ben Tre,2015,winter_spring,50.9,High,45.36137969541193,5.538620304588072
Ben Tre,2015,summer_autumn,40.1,Low,42.90259547645542,-2.8025954764554157
Ben Tre,2015,main_season,42.8,High,37.68110493140523,5.118895068594767
Ben Tre,2016,winter_spring,0.5,Low,45.217283736691115,-44.717283736691115
Ben Tre,2016,summer_autumn,40.1,Low,43.28003707823518,-3.1800370782351806
Ben Tre,2016,main_season,20.7,Low,37.98373007044859,-17.283730070448588
Ben Tre,2017,winter_spring,44.2,Medium,45.073187777970304,-0.8731877779703012
Ben Tre,2017,summer_autumn,41.6,Low,43.65747868001495,-2.0574786800149454
Ben Tre,2017,main_season,35.5,Low,38.286355209491944,-2.786355209491944
Ben Tre,2018,winter_spring,56.1,High,44.92909181924949,11.170908180750509
Ben Tre,2018,summer_autumn,44.8,Medium,44.03492028179471,0.7650797182052855
Ben Tre,2018,main_season,31.0,Low,38.588980348535415,-7.588980348535415
Ben Tre,2019,winter_spring,48.2,High,44.78499586052868,3.4150041394713213
Ben Tre,2019,summer_autumn,45.7,Medium,44.41236188357436,1.28763811642564
Ben Tre,2019,main_season,35.9,Low,38.89160548757877,-2.9916054875787736
Ben Tre,2020,winter_spring,0.4,Low,44.64089990180787,-44.24089990180787
Ben Tre,2020,summer_autumn,34.7,Low,44.78980348535413,-10.089803485354125
Ben Tre,2020,main_season,36.3,Low,39.19423062662213,-2.8942306266221323
Ben Tre,2021,winter_spring,50.7,High,44.49680394308706,6.203196056912944
Ben Tre,2021,summer_autumn,46.6,Medium,45.16724508713389,1.432754912866109
Ben Tre,2021,main_season,30.0,Low,39.49685576566549,-9.496855765665487
Ben Tre,2022,summer_autumn,48.5,High,45.54468668891366,2.9553133110863428
Ben Tre,2022,main_season,40.8,Medium,39.799480904708844,1.0005190952911533
Ben Tre,2023,winter_spring,52.9,High,44.20861202564544,8.691387974354562
Ben Tre,2023,summer_autumn,52.1,High,45.92212829069342,6.177871709306579
Ben Tre,2023,main_season,40.6,Medium,40.102106043752315,0.49789395624768673
Ben Tre,2024,summer_autumn,44.9,Low,46.29956989247319,-1.3995698924731883
Ben Tre,2024,main_season,42.7,High,40.40473118279567,2.295268817204331
Tra Vinh,1995,winter_spring,48.5,High,45.50086021505376,2.9991397849462373
Tra Vinh,1995,summer_autumn,44.1,High,37.29225806451632,6.8077419354836834
Tra Vinh,1995,main_season,30.5,Low,34.950344827586264,-4.450344827586264
Tra Vinh,1996,winter_spring,46.2,Medium,46.108157211716616,0.09184278828338677
Tra Vinh,1996,summer_autumn,34.9,Low,37.88727474972211,-2.9872747497221113
