province,year,cultivated_area_winter_spring,rice_yield_winter_spring,rice_production_winter_spring,cultivated_area_summer_autumn,rice_yield_summer_autumn,rice_production_summer_autumn,cultivated_area_main_season,rice_yield_main_season,rice_production_main_season
An Giang,2020,229.4,71.7,1645.2,403,58.3,2348.6,4.8,42.3,20.3
An Giang,2021,230.4,76.9,1771.8,390,60.3,2350.8,4.5,45.6,20.5
An Giang,2022,229.8,73.4,1685.9,371,60.5,2242.8,3.6,42.1,15.2
An Giang,2023,227.7,75.5,1719.4,385,60.6,2334.6,3.5,39.1,13.7
An Giang,2024,227.8,74.4,1695.5,387.3,60.9,2359.6,3.5,38.7,13.6
Kien Giang,1995,107,53.1,568.6,170,37,629.1,103.3,25.6,264.7
Kien Giang,1996,144.2,54.5,785.5,211.7,29.3,620,93.7,31.2,292
Kien Giang,1997,155.4,54.2,842.1,188.8,32.7,617.2,95.5,24.4,232.9
Kien Giang,1998,160.1,53.6,858,249,32.7,813.9,96.8,23.6,228.5
Kien Giang,1999,182.7,48.3,882.7,255.7,35.5,909,82.9,28.3,234.5
Kien Giang,2000,232.6,49.6,1153.2,266.9,38.7,1032.5,41.5,23.8,98.6
Kien Giang,2001,249.7,45,1123.2,268.3,36.4,977.9,32.6,26.7,86.9
Kien Giang,2002,254.3,53,1347.5,293.3,39.6,1160.7,28.3,24.8,70.2
Kien Giang,2003,266.6,52.6,1402.1,277.1,37.2,1030.6,19.4,29.3,56.9
Kien Giang,2004,250.8,56.8,1424.2,286.4,41.9,1199.4,33.1,35.1,116.2
Kien Giang,2005,250.8,59.9,1503.4,299.8,42.8,1282,45.2,35.2,158.9
Kien Giang,2006,256.7,59.5,1528.2,293.8,36.8,1081.8,44.6,30.1,134.3
Kien Giang,2007,265.3,59.3,1572.6,266.4,46.2,1230.5,51.2,34,174.2
Kien Giang,2008,270.2,67.1,1813.2,279,48,1338,60,39.3,236
Kien Giang,2009,277.8,67,1860.3,282.1,46.1,1300,62.2,38.2,237.4
Kien Giang,2010,283.9,66.6,1892.1,296.6,46.1,1367.9,62.2,38.1,237.1
Kien Giang,2011,287.2,69.5,1995.5,345.3,49.9,1723.6,54.4,37.1,202
Kien Giang,2012,292.2,70.6,2061.7,368.5,52.9,1950.5,64.4,42.7,274.9
Kien Giang,2013,300.6,69.1,2076.4,403.9,52.3,2112.8,65.9,42.9,282.6
Kien Giang,2014,305.9,72.2,2207.6,385.3,53.1,2044.3,62.4,44.9,280.3
Kien Giang,2015,307.3,72.4,2224.5,399.2,53.5,2135.2,63,45,283.3
Kien Giang,2016,301,61.5,1850.3,404.8,54.4,2203.7,60.1,17.9,107.5
Kien Giang,2017,298.8,60.2,1799.7,389.1,54.6,2122.7,47.4,28.8,136.4
Kien Giang,2018,290,70.7,2051,379.8,51.3,1950,58.6,45.5,266.4
Kien Giang,2019,289.1,68.8,1989,368.9,53.8,1983.2,64.1,49.8,319.3
Kien Giang,2020,289.8,73.2,2122.3,373.4,55.8,2084.4,62.6,51.4,321.8
Kien Giang,2021,284.4,76.2,2166.1,372.9,55.9,2085,58.4,45.5,265.5
Kien Giang,2022,283.9,73.6,2089.5,348.6,56.1,1954.1,67.3,53.8,361.8
Kien Giang,2023,281,76.8,2159.6,363.3,56,2035.8,68.5,53.5,366.5
Kien Giang,2024,280.4,77.5,2173,372.9,57.4,2141.1,72.4,55.3,400.4
Can Tho,1995,165.6,52.3,865.3,230,35.8,824.1,6.2,34.4,21.3
Can Tho,1996,163.6,56.5,924.3,233.8,36.6,855.6,8.4,27.6,23.2
Can Tho,1997,167.2,56.8,949.1,214,34.6,741.3,8.2,27.6,22.6
Can Tho,1998,167.4,58.1,973.3,257.8,34.9,898.8,8.5,26.6,22.6
Can Tho,1999,175.2,54.9,961.6,291.4,34.9,1018,0,0,0
Can Tho,2000,180.3,57.1,1029.1,233.1,36.6,853.7,0,0,0
Can Tho,2001,181.9,56,1018.8,259.2,36.1,935.6,0,0,0
Can Tho,2002,180.9,63.6,1151.2,275.7,38.6,1065,0,0,0
Can Tho,2003,177.6,61.1,1085.2,275.8,38.3,1057.2,0,0,0
Can Tho,2004,93.9,68,638.5,136,40.9,556.2,0,0,0
Can Tho,2005,93.4,69.7,651.3,138.6,42,582.4,0,0,0
Can Tho,2006,93,66.9,622.1,129.8,40.9,530.9,0,0,0
Can Tho,2007,92.1,68,626.3,115.8,43.6,505.3,0,0,0
Can Tho,2008,90.6,68.5,620.9,128,45.1,577.6,0,0,0
Can Tho,2009,90.1,67.3,606.4,118.7,44.8,531.7,0,0,0
Can Tho,2010,89.8,70.6,634.1,119.6,47,562.6,0,0,0
Can Tho,2011,88.7,71.6,635.1,136,48.1,654.6,0,0,0
Can Tho,2012,87.8,72.9,640,140.4,48.4,679.8,0,0,0
Can Tho,2013,88,72.4,637.2,148.6,49.3,733.1,0,0,0
Can Tho,2014,88,73.4,646.1,144.3,50,721.6,0,0,0
Can Tho,2015,87.3,73.9,645.3,150.6,50.7,762.8,0,0,0
Can Tho,2016,86.7,71,615.8,153.3,51,782,0,0,0
Can Tho,2017,85.4,65.2,556.7,154.7,53.7,830.5,0,0,0
Can Tho,2018,82.5,71.6,590.9,154.8,54,835.4,0,0,0
Can Tho,2019,81.3,69.6,565.6,143.8,55.7,800.3,0,0,0
Can Tho,2020,79.3,72.2,572.6,143.7,57.1,820.6,0,0,0
Can Tho,2021,77.2,74.5,575.2,145.2,57.8,838.9,0,0,0
Can Tho,2022,76,74.2,564,140.3,57.2,802.7,0,0,0
Can Tho,2023,75,74.6,559.8,141.2,56.8,802.4,0,0,0
Can Tho,2024,72.8,75,545.9,139.8,56.7,793.2,0,0,0
Hau Giang,1995,0,0,0,0,0,0,0,0,0
Hau Giang,1996,0,0,0,0,0,0,0,0,0
Hau Giang,1997,0,0,0,0,0,0,0,0,0
Hau Giang,1998,0,0,0,0,0,0,0,0,0
Hau Giang,1999,0,0,0,0,0,0,0,0,0
Hau Giang,2000,0,0,0,0,0,0,0,0,0
Hau Giang,2001,0,0,0,0,0,0,0,0,0
Hau Giang,2002,0,0,0,0,0,0,0,0,0
Hau Giang,2003,0,0,0,0,0,0,0,0,0
Hau Giang,2004,84.9,61.3,520.8,143.5,38.7,555.9,0,0,0
